;BAYİ-KODU
DEALER 1;BA-3-ICA-01
DEALER 2;BA-3-EGE-01
DEALER 3;BA-3-AKD-01
DEALER 4;BA-3-AKD-02
DEALER 5;BA-3-MAR-01
DEALER 6;BA-3-EGE-02
DEALER 7;BA-3-MAR-02
DEALER 8;BA-3-MAR-03
DEALER 9;BA-3-ICA-02
DEALER 10;BA-3-ICA-03
DEALER 11;BA-3-AKD-03
DEALER 12;BA-3-MAR-04
DEALER 13;BA-3-MAR-05
DEALER 14;BA-3-ICA-04
DEALER 15;BA-3-AKD-04
DEALER 16;BA-3-MAR-06
DEALER 17;BA-3-MAR-07
DEALER 18;BA-3-MAR-08
DEALER 19;BA-3-GDA-01
DEALER 20;BA-3-KAR-01
DEALER 21;BA-3-EGE-03
DEALER 22;BA-3-EGE-04
DEALER 23;BA-3-ICA-05
DEALER 24;BA-3-MAR-09
DEALER 25;BA-3-KAR-02
DEALER 26;BA-3-MAR-10
DEALER 27;BA-3-MAR-11
DEALER 28;BA-3-MAR-12
