,dealer_name,channel,actual_qty
1,DEALER 1,B2C,193
16,DEALER 17,B2B,172
39,DEALER 7,B2C,148
9,DEALER 13,B2C,138
15,DEALER 16,B2C,136
13,DEALER 15,B2C,133
37,DEALER 6,B2C,123
17,DEALER 17,B2C,121
11,DEALER 14,B2C,117
19,DEALER 18,B2C,117
23,DEALER 2,B2C,92
31,DEALER 3,B2C,85
33,DEALER 4,B2C,81
41,DEALER 8,B2C,68
7,DEALER 12,B2C,62
35,DEALER 5,B2C,62
21,DEALER 19,B2C,50
27,DEALER 21,B2C,50
29,DEALER 22,B2C,49
3,DEALER 10,B2C,46
38,DEALER 7,B2B,32
25,DEALER 20,B2C,24
5,DEALER 11,B2C,24
43,DEALER 9,B2C,21
20,DEALER 19,B2B,13
40,DEALER 8,B2B,11
2,DEALER 10,B2B,5
6,DEALER 12,B2B,5
30,DEALER 3,B2B,4
0,DEALER 1,B2B,4
32,DEALER 4,B2B,3
28,DEALER 22,B2B,3
26,DEALER 21,B2B,2
12,DEALER 15,B2B,2
18,DEALER 18,B2B,1
4,DEALER 11,B2B,0
10,DEALER 14,B2B,0
8,DEALER 13,B2B,0
14,DEALER 16,B2B,0
22,DEALER 2,B2B,0
24,DEALER 20,B2B,0
34,DEALER 5,B2B,0
36,DEALER 6,B2B,0
42,DEALER 9,B2B,0
