Dealer Name,A2V01,A2V02,A3V02,B1V01,B1V01a,B2V01a,C1V01,C1V03,D1V01,TOPLAM
DEALER 17,32,43,165,27,24,3,100,48,2,444
DEALER 1,22,39,74,54,16,2,49,5,2,263
DEALER 7,31,30,58,45,18,0,32,9,1,224
DEALER 16,22,27,53,33,17,2,51,9,4,218
DEALER 15,21,24,74,25,14,2,36,6,0,202
DEALER 6,10,27,50,33,15,0,36,13,0,184
DEALER 14,25,17,46,23,11,0,36,11,0,169
DEALER 18,15,31,29,36,15,2,33,6,0,167
DEALER 13,12,27,37,28,19,0,30,3,2,158
DEALER 3,11,9,41,22,9,0,19,12,1,124
DEALER 4,15,14,28,17,9,0,19,7,0,109
DEALER 12,17,18,18,12,7,0,19,5,0,96
DEALER 5,8,19,20,11,5,0,25,5,0,93
DEALER 8,12,8,14,18,8,1,19,7,0,87
DEALER 10,8,9,22,11,4,0,20,6,0,80
DEALER 21,6,14,27,10,4,1,15,2,0,79
DEALER 19,14,4,17,9,7,0,24,4,0,79
DEALER 2,12,16,14,12,0,1,13,0,0,68
DEALER 22,9,11,18,9,2,0,7,4,0,60
DEALER 11,6,7,13,5,3,0,8,3,0,45
DEALER 9,5,3,10,4,4,0,8,3,0,37
DEALER 20,7,5,7,3,3,0,6,4,0,35
