,dealer,top_model,top_version,top_color,total_sales
0,DEALER 17,A2,A3V02,Grey3,838
1,DEALER 1,A2,A2V02,Grey3,582
2,DEALER 7,A2,A2V02,Black2,529
3,DEALER 16,A2,A2V02,Black1,421
4,DEALER 15,A2,A2V02,Grey3,407
5,DEALER 13,A2,A2V02,Grey2,380
6,DEALER 6,A2,A2V02,Beige,380
7,DEALER 18,A2,A2V02,Grey2,356
8,DEALER 14,A2,A2V02,Grey3,347
9,DEALER 3,A2,A2V02,Black1,266
10,DEALER 4,A2,A2V02,Black1,240
11,DEALER 8,A2,A2V02,Black1,208
12,DEALER 2,A2,A2V02,White2,202
13,DEALER 5,A2,A2V02,Black1,196
14,DEALER 12,A2,A2V02,Grey3,194
15,DEALER 19,A2,C1V01,Black1,176
16,DEALER 21,A2,A2V02,Grey3,169
17,DEALER 10,A2,A2V02,Beige,166
18,DEALER 22,A2,A2V02,Grey3,148
19,DEALER 11,A2,A2V02,Grey3,85
20,DEALER 20,A2,A2V02,Black2,80
21,DEALER 9,A2,A2V02,Black2,69
