,brand,year_month,sales_qty
0,CITROEN,2024-01,1948
1,CITROEN,2024-02,5664
2,CITROEN,2024-03,4990
3,CITROEN,2024-04,2360
4,CITROEN,2024-05,2911
5,CITROEN,2024-06,5505
6,CITROEN,2024-07,3117
7,CITROEN,2024-08,2515
8,CITROEN,2024-09,2125
9,CITROEN,2024-10,2606
10,CITROEN,2024-11,3425
11,CITROEN,2024-12,6053
12,CITROEN,2025-01,2126
13,CITROEN,2025-02,1752
14,CITROEN,2025-03,3542
15,CITROEN,2025-04,2731
16,CITROEN,2025-05,3941
17,CITROEN,2025-06,4509
18,CITROEN,2025-07,3932
19,CITROEN,2025-08,3650
20,CITROEN,2025-09,4660
21,CITROEN,2025-10,4451
22,CITROEN,2025-11,4996
23,CITROEN,2025-12,7528
24,KIA,2024-01,820
25,KIA,2024-02,1378
26,KIA,2024-03,1717
27,KIA,2024-04,688
28,KIA,2024-05,1079
29,KIA,2024-06,1047
30,KIA,2024-07,1327
31,KIA,2024-08,2094
32,KIA,2024-09,1597
33,KIA,2024-10,1854
34,KIA,2024-11,1963
35,KIA,2024-12,2403
36,KIA,2025-01,1564
37,KIA,2025-02,2091
38,KIA,2025-03,2882
39,KIA,2025-04,2152
40,KIA,2025-05,2200
41,KIA,2025-06,2025
42,KIA,2025-07,2342
43,KIA,2025-08,1366
44,KIA,2025-09,2366
45,KIA,2025-10,1965
46,KIA,2025-11,1925
47,KIA,2025-12,2542
48,NISSAN,2024-01,2057
49,NISSAN,2024-02,1670
50,NISSAN,2024-03,1300
51,NISSAN,2024-04,1733
52,NISSAN,2024-05,1779
53,NISSAN,2024-06,1817
54,NISSAN,2024-07,2544
55,NISSAN,2024-08,2138
56,NISSAN,2024-09,2984
57,NISSAN,2024-10,2038
58,NISSAN,2024-11,2764
59,NISSAN,2024-12,4264
60,NISSAN,2025-01,1440
61,NISSAN,2025-02,2015
62,NISSAN,2025-03,2753
63,NISSAN,2025-04,759
64,NISSAN,2025-05,2508
65,NISSAN,2025-06,2286
66,NISSAN,2025-07,1670
67,NISSAN,2025-08,1520
68,NISSAN,2025-09,4501
69,NISSAN,2025-10,2594
70,NISSAN,2025-11,4404
71,NISSAN,2025-12,1657
72,OPEL,2024-01,1731
73,OPEL,2024-02,4919
74,OPEL,2024-03,4579
75,OPEL,2024-04,3341
76,OPEL,2024-05,3078
77,OPEL,2024-06,3547
78,OPEL,2024-07,3567
79,OPEL,2024-08,3595
80,OPEL,2024-09,3459
81,OPEL,2024-10,3266
82,OPEL,2024-11,4258
83,OPEL,2024-12,5872
84,OPEL,2025-01,2416
85,OPEL,2025-02,3502
86,OPEL,2025-03,3698
87,OPEL,2025-04,3860
88,OPEL,2025-05,3667
89,OPEL,2025-06,3386
90,OPEL,2025-07,4268
91,OPEL,2025-08,3973
92,OPEL,2025-09,3884
93,OPEL,2025-10,4478
94,OPEL,2025-11,4445
95,OPEL,2025-12,6439
96,PEUGEOT,2024-01,3020
97,PEUGEOT,2024-02,4333
98,PEUGEOT,2024-03,5627
99,PEUGEOT,2024-04,3777
100,PEUGEOT,2024-05,4025
101,PEUGEOT,2024-06,5118
102,PEUGEOT,2024-07,3645
103,PEUGEOT,2024-08,2840
104,PEUGEOT,2024-09,3354
105,PEUGEOT,2024-10,4191
106,PEUGEOT,2024-11,6250
107,PEUGEOT,2024-12,7706
108,PEUGEOT,2025-01,2425
109,PEUGEOT,2025-02,4032
110,PEUGEOT,2025-03,7980
111,PEUGEOT,2025-04,5984
112,PEUGEOT,2025-05,4381
113,PEUGEOT,2025-06,5053
114,PEUGEOT,2025-07,4211
115,PEUGEOT,2025-08,3409
116,PEUGEOT,2025-09,4199
117,PEUGEOT,2025-10,4498
118,PEUGEOT,2025-11,5694
119,PEUGEOT,2025-12,7932
120,RENAULT,2024-01,1512
121,RENAULT,2024-02,1736
122,RENAULT,2024-03,2808
123,RENAULT,2024-04,1268
124,RENAULT,2024-05,1679
125,RENAULT,2024-06,1665
126,RENAULT,2024-07,1645
127,RENAULT,2024-08,2521
128,RENAULT,2024-09,1988
129,RENAULT,2024-10,2802
130,RENAULT,2024-11,3012
131,RENAULT,2024-12,3801
132,RENAULT,2025-01,1846
133,RENAULT,2025-02,2183
134,RENAULT,2025-03,1817
135,RENAULT,2025-04,1604
136,RENAULT,2025-05,997
137,RENAULT,2025-06,1769
138,RENAULT,2025-07,1364
139,RENAULT,2025-08,1437
140,RENAULT,2025-09,827
141,RENAULT,2025-10,1323
142,RENAULT,2025-11,2412
143,RENAULT,2025-12,2248
144,SKODA,2024-01,2718
145,SKODA,2024-02,4065
146,SKODA,2024-03,2797
147,SKODA,2024-04,2125
148,SKODA,2024-05,4162
149,SKODA,2024-06,4352
150,SKODA,2024-07,3459
151,SKODA,2024-08,3230
152,SKODA,2024-09,3414
153,SKODA,2024-10,3766
154,SKODA,2024-11,3674
155,SKODA,2024-12,6210
156,SKODA,2025-01,2359
157,SKODA,2025-02,2262
158,SKODA,2025-03,3767
159,SKODA,2025-04,3489
160,SKODA,2025-05,3792
161,SKODA,2025-06,4512
162,SKODA,2025-07,3178
163,SKODA,2025-08,3096
164,SKODA,2025-09,3548
165,SKODA,2025-10,3530
166,SKODA,2025-11,6056
167,SKODA,2025-12,5732
168,TOYOTA,2024-01,1636
169,TOYOTA,2024-02,638
170,TOYOTA,2024-03,531
171,TOYOTA,2024-04,514
172,TOYOTA,2024-05,435
173,TOYOTA,2024-06,1051
174,TOYOTA,2024-07,1261
175,TOYOTA,2024-08,1086
176,TOYOTA,2024-09,495
177,TOYOTA,2024-10,420
178,TOYOTA,2024-11,766
179,TOYOTA,2024-12,1171
180,TOYOTA,2025-01,987
181,TOYOTA,2025-02,1652
182,TOYOTA,2025-03,1268
183,TOYOTA,2025-04,1555
184,TOYOTA,2025-05,929
185,TOYOTA,2025-06,1172
186,TOYOTA,2025-07,1284
187,TOYOTA,2025-08,1578
188,TOYOTA,2025-09,1168
189,TOYOTA,2025-10,1303
190,TOYOTA,2025-11,1284
191,TOYOTA,2025-12,1318
192,VOLKSWAGEN,2024-01,4580
193,VOLKSWAGEN,2024-02,4188
194,VOLKSWAGEN,2024-03,3561
195,VOLKSWAGEN,2024-04,5272
196,VOLKSWAGEN,2024-05,8036
197,VOLKSWAGEN,2024-06,5043
198,VOLKSWAGEN,2024-07,7152
199,VOLKSWAGEN,2024-08,5284
200,VOLKSWAGEN,2024-09,4363
201,VOLKSWAGEN,2024-10,7732
202,VOLKSWAGEN,2024-11,8258
203,VOLKSWAGEN,2024-12,11064
204,VOLKSWAGEN,2025-01,4293
205,VOLKSWAGEN,2025-02,4946
206,VOLKSWAGEN,2025-03,6193
207,VOLKSWAGEN,2025-04,5813
208,VOLKSWAGEN,2025-05,6671
209,VOLKSWAGEN,2025-06,8418
210,VOLKSWAGEN,2025-07,5709
211,VOLKSWAGEN,2025-08,5602
212,VOLKSWAGEN,2025-09,6464
213,VOLKSWAGEN,2025-10,11001
214,VOLKSWAGEN,2025-11,9437
215,VOLKSWAGEN,2025-12,14135
216,TOPLAM:,2024-01,20022
217,TOPLAM:,2024-02,28591
218,TOPLAM:,2024-03,27910
219,TOPLAM:,2024-04,21078
220,TOPLAM:,2024-05,27184
221,TOPLAM:,2024-06,29145
222,TOPLAM:,2024-07,27717
223,TOPLAM:,2024-08,25303
224,TOPLAM:,2024-09,23779
225,TOPLAM:,2024-10,28675
226,TOPLAM:,2024-11,34370
227,TOPLAM:,2024-12,48544
228,TOPLAM:,2025-01,19456
229,TOPLAM:,2025-02,24435
230,TOPLAM:,2025-03,33900
231,TOPLAM:,2025-04,27947
232,TOPLAM:,2025-05,29086
233,TOPLAM:,2025-06,33130
234,TOPLAM:,2025-07,27958
235,TOPLAM:,2025-08,25631
236,TOPLAM:,2025-09,31617
237,TOPLAM:,2025-10,35143
238,TOPLAM:,2025-11,40653
239,TOPLAM:,2025-12,49531
