dealer_name;allocated;dealer_code;target;gap;fill_rate
DEALER 1;20;BA-3-ICA-01;20;0;100.0
DEALER 10;6;BA-3-ICA-03;6;0;100.0
DEALER 11;4;BA-3-AKD-03;4;0;100.0
DEALER 12;10;BA-3-MAR-04;10;0;100.0
DEALER 13;17;BA-3-MAR-05;17;0;100.0
DEALER 14;15;BA-3-ICA-04;15;0;100.0
DEALER 15;17;BA-3-AKD-04;17;0;100.0
DEALER 16;19;BA-3-MAR-06;19;0;100.0
DEALER 17;19;BA-3-MAR-07;19;0;100.0
DEALER 18;17;BA-3-MAR-08;17;0;100.0
DEALER 19;8;BA-3-GDA-01;8;0;100.0
DEALER 2;11;BA-3-EGE-01;11;0;100.0
DEALER 20;4;BA-3-KAR-01;4;0;100.0
DEALER 21;6;BA-3-EGE-03;6;0;100.0
DEALER 22;6;BA-3-EGE-04;6;0;100.0
DEALER 3;9;BA-3-AKD-01;9;0;100.0
DEALER 4;9;BA-3-AKD-02;9;0;100.0
DEALER 5;8;BA-3-MAR-01;8;0;100.0
DEALER 6;14;BA-3-EGE-02;14;0;100.0
DEALER 7;19;BA-3-MAR-02;19;0;100.0
DEALER 8;8;BA-3-MAR-03;8;0;100.0
DEALER 9;4;BA-3-ICA-02;4;0;100.0
