month,month_name,northstar_si,market_si,combined_si,northstar_pct,market_pct,combined_pct
1,Jan,1.0492,0.6572,0.6607,8.74,5.48,5.51
2,Feb,1.0138,0.8828,0.8839,8.45,7.36,7.37
3,Mar,0.9784,1.029,1.0286,8.15,8.57,8.57
4,Apr,0.6485,0.8162,0.8147,5.4,6.8,6.79
5,May,0.8312,0.9368,0.9359,6.93,7.81,7.8
6,Jun,0.9765,1.0368,1.0362,8.14,8.64,8.64
7,Jul,0.984,0.9269,0.9274,8.2,7.72,7.73
8,Aug,1.1592,0.848,0.8507,9.66,7.07,7.09
9,Sep,1.0362,0.9222,0.9232,8.64,7.68,7.69
10,Oct,0.9225,1.0624,1.0612,7.69,8.85,8.84
11,Nov,0.8983,1.249,1.2459,7.49,10.41,10.38
12,Dec,1.5021,1.6328,1.6316,12.52,13.61,13.6
