month,month_name,odd_si,segment_si,northstar_si,final_si,w_odd,w_seg,w_ns
1,Ocak,0.6612,0.6572,1.0492,0.6592,0.5015,0.4985,0.0
2,Şubat,0.8893,0.8828,1.0138,0.8861,0.5015,0.4985,0.0
3,Mart,1.0377,1.029,0.9784,1.0334,0.5015,0.4985,0.0
4,Nisan,0.8529,0.8162,0.6485,0.8346,0.5015,0.4985,0.0
5,Mayıs,0.9856,0.9368,0.8312,0.9613,0.5015,0.4985,0.0
6,Haziran,1.107,1.0368,0.9765,1.072,0.5015,0.4985,0.0
7,Temmuz,0.9458,0.9269,0.984,0.9364,0.5015,0.4985,0.0
8,Ağustos,0.9227,0.848,1.1592,0.8855,0.5015,0.4985,0.0
9,Eylül,0.92,0.9222,1.0362,0.9211,0.5015,0.4985,0.0
10,Ekim,0.9305,1.0624,0.9225,0.9963,0.5015,0.4985,0.0
11,Kasım,1.1488,1.249,0.8983,1.1987,0.5015,0.4985,0.0
12,Aralık,1.5986,1.6328,1.5021,1.6156,0.5015,0.4985,0.0
